Date,DEX,Values,Blockchain
2023-05-17,Synthetix,537,Optimism
2023-05-17,Uniswap,37243,Optimism
2023-05-17,Velodrome,14594,Optimism
2023-05-17,WOOFi,2293,Optimism
2023-05-17,Balancer,3494,Polygon
2023-05-17,Curve,974,Polygon
2023-05-17,DODO,3260,Polygon
2023-05-17,Fraxswap,587,Polygon
2023-05-17,KyberSwap,2590,Polygon
2023-05-17,QuickSwap,49109,Polygon
2023-05-17,Sushiswap,10054,Polygon
2023-05-17,Uniswap,63589,Polygon
2023-05-17,WOOFi,6827,Polygon
2023-05-16,Curve,517,Avalanche
2023-05-16,Fraxswap,43,Avalanche
2023-05-16,GMX,464,Avalanche
2023-05-16,Hashflow,217,Avalanche
2023-05-16,KyberSwap,600,Avalanche
2023-05-16,Pangolin,5270,Avalanche
2023-05-16,Platypus,825,Avalanche
2023-05-16,Sushiswap,1276,Avalanche
2023-05-16,Trader Joe,30226,Avalanche
2023-05-16,WOOFi,9091,Avalanche
2023-05-16,Balancer,452,Ethereum
2023-05-16,Curve,1050,Ethereum
2023-05-16,DODO,36,Ethereum
2023-05-16,Fraxswap,105,Ethereum
2023-05-16,Hashflow,201,Ethereum
2023-05-16,KyberSwap,16,Ethereum
2023-05-16,Maverick,1,Ethereum
2023-05-16,PancakeSwap,444,Ethereum
2023-05-16,Shibaswap,515,Ethereum
2023-05-16,Sushiswap,3827,Ethereum
2023-05-16,Synthetix,4,Ethereum
2023-05-16,Uniswap,238811,Ethereum
2023-05-16,Beethoven X,1840,Optimism
2023-05-16,Curve,1209,Optimism
2023-05-16,Fraxswap,22,Optimism
2023-05-16,KyberSwap,132,Optimism
2023-05-16,Sushiswap,1517,Optimism
2023-05-16,Synthetix,1064,Optimism
2023-05-16,Uniswap,27985,Optimism
2023-05-16,Velodrome,11531,Optimism
2023-05-16,WOOFi,1941,Optimism
2023-05-16,Balancer,3240,Polygon
2023-05-16,Curve,1104,Polygon
2023-05-16,DODO,2977,Polygon
2023-05-16,Fraxswap,495,Polygon
2023-05-16,KyberSwap,2047,Polygon
2023-05-16,QuickSwap,41842,Polygon
2023-05-16,Sushiswap,8128,Polygon
2023-05-16,Uniswap,56605,Polygon
2023-05-16,WOOFi,6380,Polygon
2023-05-15,Curve,304,Avalanche
2023-05-15,Fraxswap,75,Avalanche
2023-05-15,GMX,570,Avalanche
2023-05-15,Hashflow,207,Avalanche
2023-05-15,KyberSwap,400,Avalanche
2023-05-15,Pangolin,4398,Avalanche
2023-05-15,Platypus,772,Avalanche
2023-05-15,Sushiswap,1043,Avalanche
2023-05-15,Trader Joe,30848,Avalanche
2023-05-15,WOOFi,8804,Avalanche
2023-05-15,Balancer,484,Ethereum
2023-05-15,Curve,792,Ethereum
2023-05-15,DODO,100,Ethereum
2023-05-15,Fraxswap,90,Ethereum
2023-05-15,Hashflow,205,Ethereum
2023-05-15,KyberSwap,23,Ethereum
2023-05-15,Maverick,1,Ethereum
2023-05-15,PancakeSwap,464,Ethereum
2023-05-15,Shibaswap,577,Ethereum
2023-05-15,Sushiswap,3411,Ethereum
2023-05-15,Synthetix,1,Ethereum
2023-05-15,Uniswap,248361,Ethereum
2023-05-15,Beethoven X,1190,Optimism
2023-05-15,Curve,832,Optimism
2023-05-15,Fraxswap,36,Optimism
2023-05-15,KyberSwap,182,Optimism
2023-05-15,Sushiswap,1169,Optimism
2023-05-15,Synthetix,79,Optimism
2023-05-15,Uniswap,28145,Optimism
2023-05-15,Velodrome,8506,Optimism
2023-05-15,WOOFi,1220,Optimism
2023-05-15,Balancer,2769,Polygon
2023-05-15,Curve,548,Polygon
2023-05-15,DODO,2998,Polygon
2023-05-15,Fraxswap,636,Polygon
2023-05-15,KyberSwap,2008,Polygon
2023-05-15,QuickSwap,37897,Polygon
2023-05-15,Sushiswap,9403,Polygon
2023-05-15,Uniswap,53455,Polygon
2023-05-15,WOOFi,5512,Polygon
2023-05-14,Curve,298,Avalanche
2023-05-14,Fraxswap,43,Avalanche
2023-05-14,GMX,303,Avalanche
2023-05-14,Hashflow,418,Avalanche
2023-05-14,KyberSwap,587,Avalanche
2023-05-14,Pangolin,5446,Avalanche
2023-05-14,Platypus,697,Avalanche
2023-05-14,Sushiswap,1214,Avalanche
2023-05-14,Trader Joe,27956,Avalanche
2023-05-14,WOOFi,10553,Avalanche
2023-05-14,Balancer,379,Ethereum
2023-05-14,Curve,702,Ethereum
2023-05-14,DODO,44,Ethereum
2023-05-14,Fraxswap,60,Ethereum
2023-05-14,Hashflow,116,Ethereum
2023-05-14,KyberSwap,16,Ethereum
2023-05-14,PancakeSwap,499,Ethereum
2023-05-14,Shibaswap,552,Ethereum
2023-05-14,Sushiswap,2508,Ethereum
2023-05-14,Uniswap,216683,Ethereum
2023-05-14,Beethoven X,1038,Optimism
2023-05-14,Curve,618,Optimism
2023-05-14,Fraxswap,19,Optimism
2023-05-14,KyberSwap,160,Optimism
2023-05-14,Sushiswap,1110,Optimism
2023-05-14,Synthetix,22,Optimism
2023-05-14,Uniswap,22045,Optimism
2023-05-14,Velodrome,7637,Optimism
2023-05-14,WOOFi,1536,Optimism
2023-05-14,Balancer,1956,Polygon
2023-05-14,Curve,806,Polygon
2023-05-14,DODO,2533,Polygon
2023-05-14,Fraxswap,807,Polygon
2023-05-14,KyberSwap,1288,Polygon
2023-05-14,QuickSwap,35086,Polygon
2023-05-14,Sushiswap,7823,Polygon
2023-05-14,Uniswap,42049,Polygon
2023-05-14,WOOFi,6476,Polygon
2023-05-13,Curve,346,Avalanche
2023-05-13,Fraxswap,69,Avalanche
2023-05-13,GMX,232,Avalanche
2023-05-13,Hashflow,405,Avalanche
2023-05-13,KyberSwap,564,Avalanche
2023-05-13,Pangolin,5324,Avalanche
2023-05-13,Platypus,697,Avalanche
2023-05-13,Sushiswap,1332,Avalanche
2023-05-13,Trader Joe,26169,Avalanche
2023-05-13,WOOFi,9443,Avalanche
2023-05-13,Balancer,400,Ethereum
2023-05-13,Curve,733,Ethereum
2023-05-13,DODO,47,Ethereum
2023-05-13,Fraxswap,90,Ethereum
2023-05-13,Hashflow,149,Ethereum
2023-05-13,KyberSwap,22,Ethereum
2023-05-13,PancakeSwap,606,Ethereum
2023-05-13,Shibaswap,713,Ethereum
2023-05-13,Sushiswap,2525,Ethereum
2023-05-13,Uniswap,210224,Ethereum
2023-05-13,Beethoven X,1036,Optimism
2023-05-13,Curve,677,Optimism
2023-05-13,Fraxswap,15,Optimism
2023-05-13,KyberSwap,147,Optimism
2023-05-13,Sushiswap,1053,Optimism
2023-05-13,Synthetix,17,Optimism
2023-05-13,Uniswap,23891,Optimism
2023-05-13,Velodrome,8256,Optimism
2023-05-13,WOOFi,1800,Optimism
2023-05-13,Balancer,2199,Polygon
2023-05-13,Curve,878,Polygon
2023-05-13,DODO,2549,Polygon
2023-05-13,Fraxswap,818,Polygon
2023-05-13,KyberSwap,1386,Polygon
2023-05-13,QuickSwap,35946,Polygon
2023-05-13,Sushiswap,7174,Polygon
2023-05-13,Uniswap,45506,Polygon
2023-05-13,WOOFi,5690,Polygon
2023-05-12,Curve,453,Avalanche
2023-05-12,Fraxswap,53,Avalanche
2023-05-12,GMX,625,Avalanche
