Date,Exchange,Values,Blockchain
2023-09-18,Fraxswap,40,Ethereum
2023-09-18,Hashflow,62,Ethereum
2023-09-18,KyberSwap,27,Ethereum
2023-09-18,PancakeSwap,521,Ethereum
2023-09-18,ShibaSwap,406,Ethereum
2023-09-18,Sushiswap,1479,Ethereum
2023-09-18,Synthetix,3,Ethereum
2023-09-18,Trader Joe,4,Ethereum
2023-09-18,Uniswap,50214,Ethereum
2023-09-18,Beethoven X,385,Optimism
2023-09-18,Curve,348,Optimism
2023-09-18,Fraxswap,18,Optimism
2023-09-18,KyberSwap,20,Optimism
2023-09-18,Sushiswap,348,Optimism
2023-09-18,Synthetix,1,Optimism
2023-09-18,Uniswap,8622,Optimism
2023-09-18,Velodrome,3127,Optimism
2023-09-18,WOOFi,737,Optimism
2023-09-18,Balancer,1296,Polygon
2023-09-18,Curve,308,Polygon
2023-09-18,DODO,999,Polygon
2023-09-18,Fraxswap,48,Polygon
2023-09-18,KyberSwap,343,Polygon
2023-09-18,QuickSwap,9757,Polygon
2023-09-18,Sushiswap,3756,Polygon
2023-09-18,Uniswap,12911,Polygon
2023-09-18,WOOFi,1530,Polygon
2023-09-17,Balancer,959,Arbitrum
2023-09-17,Camelot,1559,Arbitrum
2023-09-17,Curve,21,Arbitrum
2023-09-17,DODO,332,Arbitrum
2023-09-17,Fraxswap,26,Arbitrum
2023-09-17,GMX,140,Arbitrum
2023-09-17,KyberSwap,688,Arbitrum
2023-09-17,Sushiswap,1982,Arbitrum
2023-09-17,Trader Joe,1746,Arbitrum
2023-09-17,Uniswap,9932,Arbitrum
2023-09-17,WOOFi,1351,Arbitrum
2023-09-17,Zyberswap,300,Arbitrum
2023-09-17,Balancer,54,Avalanche
2023-09-17,Curve,142,Avalanche
2023-09-17,Fraxswap,16,Avalanche
2023-09-17,GMX,143,Avalanche
2023-09-17,Hashflow,15,Avalanche
2023-09-17,KyberSwap,202,Avalanche
2023-09-17,Pangolin,1133,Avalanche
2023-09-17,Platypus,252,Avalanche
2023-09-17,Sushiswap,404,Avalanche
2023-09-17,Trader Joe,5013,Avalanche
2023-09-17,Uniswap,804,Avalanche
2023-09-17,WOOFi,1123,Avalanche
2023-09-17,Balancer,247,Ethereum
2023-09-17,Curve,434,Ethereum
2023-09-17,DODO,149,Ethereum
2023-09-17,Fraxswap,18,Ethereum
2023-09-17,Hashflow,50,Ethereum
2023-09-17,KyberSwap,24,Ethereum
