Date,DEX,Values,Blockchain
2023-05-05,DODO,1185,Polygon
2023-05-05,Fraxswap,17,Polygon
2023-05-05,KyberSwap,1335,Polygon
2023-05-05,QuickSwap,11871,Polygon
2023-05-05,Sushiswap,5240,Polygon
2023-05-05,Uniswap,14314,Polygon
2023-05-05,WOOFi,1667,Polygon
2023-05-04,Curve,234,Avalanche
2023-05-04,Fraxswap,38,Avalanche
2023-05-04,GMX,240,Avalanche
2023-05-04,Hashflow,226,Avalanche
2023-05-04,KyberSwap,329,Avalanche
2023-05-04,Pangolin,1850,Avalanche
2023-05-04,Platypus,374,Avalanche
2023-05-04,Sushiswap,481,Avalanche
2023-05-04,Trader Joe,11787,Avalanche
2023-05-04,WOOFi,2292,Avalanche
2023-05-04,Balancer,216,Ethereum
2023-05-04,Curve,461,Ethereum
2023-05-04,DODO,17,Ethereum
2023-05-04,Fraxswap,50,Ethereum
2023-05-04,Hashflow,108,Ethereum
2023-05-04,KyberSwap,18,Ethereum
2023-05-04,Maverick,280,Ethereum
2023-05-04,PancakeSwap,721,Ethereum
2023-05-04,Shibaswap,442,Ethereum
2023-05-04,Sushiswap,1736,Ethereum
2023-05-04,Synthetix,2,Ethereum
2023-05-04,Uniswap,85439,Ethereum
2023-05-04,Beethoven X,745,Optimism
2023-05-04,Curve,491,Optimism
2023-05-04,Fraxswap,8,Optimism
2023-05-04,KyberSwap,280,Optimism
2023-05-04,Sushiswap,671,Optimism
2023-05-04,Synthetix,35,Optimism
2023-05-04,Uniswap,7138,Optimism
2023-05-04,Velodrome,3947,Optimism
2023-05-04,WOOFi,578,Optimism
2023-05-04,Balancer,1336,Polygon
2023-05-04,Curve,312,Polygon
2023-05-04,DODO,1348,Polygon
2023-05-04,Fraxswap,28,Polygon
2023-05-04,KyberSwap,1533,Polygon
2023-05-04,QuickSwap,11559,Polygon
2023-05-04,Sushiswap,5155,Polygon
2023-05-04,Uniswap,14663,Polygon
2023-05-04,WOOFi,1593,Polygon
2023-05-03,Curve,181,Avalanche
2023-05-03,Fraxswap,34,Avalanche
2023-05-03,GMX,280,Avalanche
2023-05-03,Hashflow,167,Avalanche
2023-05-03,KyberSwap,343,Avalanche
2023-05-03,Pangolin,3757,Avalanche
2023-05-03,Platypus,406,Avalanche
2023-05-03,Sushiswap,542,Avalanche
2023-05-03,Trader Joe,11875,Avalanche
2023-05-03,WOOFi,1907,Avalanche
2023-05-03,Balancer,213,Ethereum
2023-05-03,Curve,468,Ethereum
2023-05-03,DODO,29,Ethereum
2023-05-03,Fraxswap,54,Ethereum
2023-05-03,Hashflow,122,Ethereum
2023-05-03,KyberSwap,23,Ethereum
2023-05-03,Maverick,218,Ethereum
2023-05-03,PancakeSwap,538,Ethereum
2023-05-03,Shibaswap,475,Ethereum
2023-05-03,Sushiswap,1729,Ethereum
2023-05-03,Synthetix,3,Ethereum
2023-05-03,Uniswap,79769,Ethereum
2023-05-03,Beethoven X,673,Optimism
2023-05-03,Curve,475,Optimism
2023-05-03,Fraxswap,7,Optimism
2023-05-03,KyberSwap,270,Optimism
2023-05-03,Sushiswap,467,Optimism
2023-05-03,Synthetix,26,Optimism
2023-05-03,Uniswap,15804,Optimism
2023-05-03,Velodrome,2446,Optimism
2023-05-03,WOOFi,556,Optimism
2023-05-03,Balancer,1482,Polygon
2023-05-03,Curve,365,Polygon
2023-05-03,DODO,1275,Polygon
2023-05-03,Fraxswap,32,Polygon
2023-05-03,KyberSwap,1516,Polygon
2023-05-03,QuickSwap,12045,Polygon
2023-05-03,Sushiswap,4685,Polygon
2023-05-03,Uniswap,14935,Polygon
2023-05-03,WOOFi,1018,Polygon
2023-05-02,Curve,204,Avalanche
2023-05-02,Fraxswap,15,Avalanche
2023-05-02,GMX,195,Avalanche
2023-05-02,Hashflow,173,Avalanche
2023-05-02,KyberSwap,283,Avalanche
2023-05-02,Pangolin,1257,Avalanche
2023-05-02,Platypus,320,Avalanche
2023-05-02,Sushiswap,488,Avalanche
2023-05-02,Trader Joe,9795,Avalanche
2023-05-02,WOOFi,1922,Avalanche
2023-05-02,Balancer,191,Ethereum
2023-05-02,Curve,393,Ethereum
2023-05-02,DODO,31,Ethereum
2023-05-02,Fraxswap,36,Ethereum
2023-05-02,Hashflow,116,Ethereum
2023-05-02,KyberSwap,29,Ethereum
2023-05-02,Maverick,186,Ethereum
2023-05-02,PancakeSwap,637,Ethereum
2023-05-02,Shibaswap,592,Ethereum
2023-05-02,Sushiswap,1736,Ethereum
2023-05-02,Synthetix,2,Ethereum
2023-05-02,Uniswap,83855,Ethereum
2023-05-02,Beethoven X,535,Optimism
2023-05-02,Curve,403,Optimism
2023-05-02,Fraxswap,4,Optimism
2023-05-02,KyberSwap,222,Optimism
2023-05-02,Sushiswap,452,Optimism
2023-05-02,Synthetix,36,Optimism
2023-05-02,Uniswap,6072,Optimism
2023-05-02,Velodrome,2280,Optimism
2023-05-02,WOOFi,671,Optimism
2023-05-02,Balancer,1356,Polygon
2023-05-02,Curve,327,Polygon
2023-05-02,DODO,1351,Polygon
2023-05-02,Fraxswap,11,Polygon
2023-05-02,KyberSwap,1517,Polygon
2023-05-02,QuickSwap,11775,Polygon
2023-05-02,Sushiswap,4536,Polygon
2023-05-02,Uniswap,14898,Polygon
2023-05-02,WOOFi,967,Polygon
2023-05-01,Curve,220,Avalanche
2023-05-01,Fraxswap,23,Avalanche
2023-05-01,GMX,284,Avalanche
2023-05-01,Hashflow,100,Avalanche
2023-05-01,KyberSwap,349,Avalanche
2023-05-01,Pangolin,1310,Avalanche
2023-05-01,Platypus,365,Avalanche
2023-05-01,Sushiswap,568,Avalanche
2023-05-01,Trader Joe,10082,Avalanche
2023-05-01,WOOFi,2042,Avalanche
2023-05-01,Balancer,217,Ethereum
2023-05-01,Curve,442,Ethereum
2023-05-01,DODO,28,Ethereum
2023-05-01,Fraxswap,35,Ethereum
2023-05-01,Hashflow,168,Ethereum
2023-05-01,KyberSwap,26,Ethereum
2023-05-01,Maverick,270,Ethereum
2023-05-01,PancakeSwap,1049,Ethereum
2023-05-01,Shibaswap,667,Ethereum
2023-05-01,Sushiswap,1947,Ethereum
2023-05-01,Synthetix,1,Ethereum
2023-05-01,Uniswap,84606,Ethereum
2023-05-01,Beethoven X,604,Optimism
2023-05-01,Curve,410,Optimism
2023-05-01,Fraxswap,8,Optimism
2023-05-01,KyberSwap,244,Optimism
2023-05-01,Sushiswap,488,Optimism
2023-05-01,Synthetix,23,Optimism
2023-05-01,Uniswap,5378,Optimism
2023-05-01,Velodrome,2377,Optimism
2023-05-01,WOOFi,604,Optimism
2023-05-01,Balancer,1357,Polygon
2023-05-01,Curve,268,Polygon
2023-05-01,DODO,1206,Polygon
2023-05-01,Fraxswap,28,Polygon
2023-05-01,KyberSwap,1476,Polygon
2023-05-01,QuickSwap,11588,Polygon
2023-05-01,Sushiswap,4508,Polygon
2023-05-01,Uniswap,14627,Polygon
2023-05-01,WOOFi,1181,Polygon
2023-04-30,Curve,184,Avalanche
2023-04-30,Fraxswap,21,Avalanche
2023-04-30,GMX,269,Avalanche
2023-04-30,Hashflow,213,Avalanche
2023-04-30,KyberSwap,344,Avalanche
2023-04-30,Pangolin,1327,Avalanche
2023-04-30,Platypus,400,Avalanche
2023-04-30,Sushiswap,643,Avalanche
2023-04-30,Trader Joe,11434,Avalanche
2023-04-30,WOOFi,2429,Avalanche
2023-04-30,Balancer,233,Ethereum
2023-04-30,Curve,467,Ethereum
2023-04-30,DODO,21,Ethereum
2023-04-30,Fraxswap,31,Ethereum
2023-04-30,Hashflow,149,Ethereum
2023-04-30,KyberSwap,24,Ethereum
2023-04-30,Maverick,405,Ethereum
2023-04-30,PancakeSwap,810,Ethereum
2023-04-30,Shibaswap,657,Ethereum
2023-04-30,Sushiswap,1654,Ethereum
2023-04-30,Uniswap,67731,Ethereum
2023-04-30,Beethoven X,577,Optimism
2023-04-30,Curve,506,Optimism
2023-04-30,Fraxswap,8,Optimism
2023-04-30,KyberSwap,228,Optimism
2023-04-30,Sushiswap,575,Optimism
2023-04-30,Synthetix,32,Optimism
2023-04-30,Uniswap,7509,Optimism
2023-04-30,Velodrome,4365,Optimism
2023-04-30,WOOFi,611,Optimism
2023-04-30,Balancer,1315,Polygon
2023-04-30,Curve,236,Polygon
2023-04-30,DODO,967,Polygon
2023-04-30,Fraxswap,22,Polygon
2023-04-30,KyberSwap,1176,Polygon
2023-04-30,QuickSwap,11203,Polygon
2023-04-30,Sushiswap,4648,Polygon
2023-04-30,Uniswap,13915,Polygon
2023-04-30,WOOFi,1409,Polygon
2023-04-29,Curve,157,Avalanche
2023-04-29,Fraxswap,39,Avalanche
2023-04-29,GMX,107,Avalanche
2023-04-29,Hashflow,207,Avalanche
2023-04-29,KyberSwap,356,Avalanche
2023-04-29,Pangolin,1175,Avalanche
2023-04-29,Platypus,287,Avalanche
2023-04-29,Sushiswap,610,Avalanche
2023-04-29,Trader Joe,11028,Avalanche
2023-04-29,WOOFi,2252,Avalanche
2023-04-29,Balancer,266,Ethereum
2023-04-29,Curve,528,Ethereum
2023-04-29,DODO,21,Ethereum
2023-04-29,Fraxswap,27,Ethereum
2023-04-29,Hashflow,108,Ethereum
2023-04-29,KyberSwap,20,Ethereum
2023-04-29,Maverick,341,Ethereum
2023-04-29,PancakeSwap,439,Ethereum
