Date,Marketplace,Values,Blockchain
2023-05-05,Quix,3346.12,Optimism
2023-05-05,OpenSea,115368.6029,Polygon
2023-05-05,Coral Cube,14029.82642,Solana
2023-05-05,Exchange Art,25581.77755,Solana
2023-05-05,Hadeswap,145571.1538,Solana
2023-05-05,Hyperspace,2355.793334,Solana
2023-05-05,Magic Eden,889587.1735,Solana
2023-05-05,Solanart,1555.609542,Solana
2023-05-05,Tensor,948823.2179,Solana
2023-05-04,Blur,14653755.84,Ethereum
2023-05-04,Larva Labs,342788.57,Ethereum
2023-05-04,LooksRare,5485591.941,Ethereum
2023-05-04,NFTX,29292.08554,Ethereum
2023-05-04,OpenSea,5563580.598,Ethereum
2023-05-04,Rarible,11428.70627,Ethereum
2023-05-04,Sudoswap,18410.55,Ethereum
2023-05-04,X2Y2,4202952.277,Ethereum
2023-05-04,Quix,6479.71,Optimism
2023-05-04,OpenSea,115024.5183,Polygon
2023-05-04,Coral Cube,14904.96661,Solana
2023-05-04,Exchange Art,10406.78404,Solana
2023-05-04,Hadeswap,111863.3772,Solana
2023-05-04,Hyperspace,34.65839215,Solana
2023-05-04,Magic Eden,905865.3818,Solana
2023-05-04,Solanart,457.4499857,Solana
2023-05-04,Tensor,841313.3326,Solana
2023-05-03,Blur,19338708.07,Ethereum
2023-05-03,Larva Labs,210710.29,Ethereum
2023-05-03,LooksRare,5408802.798,Ethereum
2023-05-03,NFTX,73945.58836,Ethereum
2023-05-03,OpenSea,6379324.123,Ethereum
2023-05-03,Rarible,6664.578615,Ethereum
2023-05-03,Sudoswap,32158.12,Ethereum
2023-05-03,X2Y2,3526499.795,Ethereum
2023-05-03,Quix,3790.05,Optimism
2023-05-03,OpenSea,111526.5591,Polygon
2023-05-03,Coral Cube,6423.282346,Solana
2023-05-03,Exchange Art,5972.49007,Solana
2023-05-03,Hadeswap,116211.8773,Solana
2023-05-03,Hyperspace,104.5504382,Solana
2023-05-03,Magic Eden,739812.3482,Solana
2023-05-03,Solanart,409.6392,Solana
2023-05-03,Tensor,741820.2662,Solana
2023-05-02,Blur,21444562.39,Ethereum
2023-05-02,Larva Labs,540554.57,Ethereum
2023-05-02,LooksRare,8306801.425,Ethereum
2023-05-02,NFTX,76994.43488,Ethereum
2023-05-02,OpenSea,7665955.57,Ethereum
2023-05-02,Rarible,72891.83321,Ethereum
2023-05-02,Sudoswap,31955.78,Ethereum
2023-05-02,X2Y2,4505672.334,Ethereum
2023-05-02,Quix,9523.34,Optimism
2023-05-02,OpenSea,412970.8571,Polygon
2023-05-02,Coral Cube,9327.414216,Solana
2023-05-02,Exchange Art,6062.865057,Solana
2023-05-02,Hadeswap,146717.4122,Solana
2023-05-02,Hyperspace,25142.9836,Solana
2023-05-02,Magic Eden,916746.5999,Solana
2023-05-02,Solanart,721.1131188,Solana
2023-05-02,Tensor,718913.9857,Solana
2023-05-01,Blur,22853393.74,Ethereum
2023-05-01,Larva Labs,1153792.41,Ethereum
2023-05-01,LooksRare,2408482.184,Ethereum
2023-05-01,NFTX,251457.8942,Ethereum
2023-05-01,OpenSea,7522076.837,Ethereum
2023-05-01,Rarible,14587.32092,Ethereum
2023-05-01,Sudoswap,26503.48,Ethereum
2023-05-01,X2Y2,3460090.79,Ethereum
2023-05-01,Quix,4230.87,Optimism
2023-05-01,OpenSea,539082.577,Polygon
2023-05-01,Coral Cube,13351.72326,Solana
2023-05-01,Exchange Art,4615.449855,Solana
2023-05-01,Hadeswap,204719.7231,Solana
2023-05-01,Hyperspace,1865.485792,Solana
2023-05-01,Magic Eden,1103935.576,Solana
2023-05-01,Solanart,335.9809925,Solana
2023-05-01,Tensor,1037277.374,Solana
2023-04-30,Blur,16109474.91,Ethereum
2023-04-30,LooksRare,5564530.317,Ethereum
2023-04-30,NFTX,41672.61535,Ethereum
2023-04-30,OpenSea,6317234.91,Ethereum
2023-04-30,Rarible,9576.990084,Ethereum
2023-04-30,Sudoswap,42461.25,Ethereum
2023-04-30,X2Y2,3496258.419,Ethereum
2023-04-30,Quix,5013.58,Optimism
2023-04-30,OpenSea,564803.6138,Polygon
2023-04-30,Coral Cube,15386.88768,Solana
2023-04-30,Exchange Art,13089.97639,Solana
2023-04-30,Hadeswap,122354.4946,Solana
2023-04-30,Hyperspace,3757.896577,Solana
2023-04-30,Magic Eden,1307125.254,Solana
2023-04-30,Solanart,862.62215,Solana
2023-04-30,Tensor,1235183.58,Solana
2023-04-29,Blur,13807937.95,Ethereum
2023-04-29,Larva Labs,108688.48,Ethereum
2023-04-29,LooksRare,5498788.884,Ethereum
2023-04-29,NFTX,49469.41456,Ethereum
2023-04-29,OpenSea,5713906.105,Ethereum
2023-04-29,Rarible,7419.016246,Ethereum
2023-04-29,Sudoswap,28890.85,Ethereum
2023-04-29,X2Y2,3937844.705,Ethereum
2023-04-29,Quix,3443.38,Optimism
2023-04-29,OpenSea,540599.688,Polygon
2023-04-29,Coral Cube,11947.01062,Solana
2023-04-29,Exchange Art,7493.660252,Solana
2023-04-29,Hadeswap,165015.5499,Solana
2023-04-29,Hyperspace,2486.970085,Solana
2023-04-29,Magic Eden,1125973.195,Solana
2023-04-29,Solanart,135.3428628,Solana
2023-04-29,Tensor,1375886.837,Solana
2023-04-28,Blur,16368674.49,Ethereum
2023-04-28,LooksRare,5534889.208,Ethereum
2023-04-28,NFTX,51209.97993,Ethereum
2023-04-28,OpenSea,6819916.94,Ethereum
2023-04-28,Rarible,5385.638969,Ethereum
2023-04-28,Sudoswap,38720.32,Ethereum
2023-04-28,X2Y2,3758559.932,Ethereum
2023-04-28,Quix,16196.42,Optimism
2023-04-28,OpenSea,684139.4313,Polygon
2023-04-28,Coral Cube,14190.87046,Solana
2023-04-28,Exchange Art,7667.688949,Solana
2023-04-28,Hadeswap,175353.7113,Solana
2023-04-28,Hyperspace,27893.58889,Solana
2023-04-28,Magic Eden,1231093.286,Solana
2023-04-28,Solanart,260.0344583,Solana
2023-04-28,Tensor,1052698.411,Solana
2023-04-27,Blur,14114745.71,Ethereum
2023-04-27,Larva Labs,114625.11,Ethereum
2023-04-27,LooksRare,5400044.889,Ethereum
2023-04-27,NFTX,34940.42071,Ethereum
2023-04-27,OpenSea,6093199.607,Ethereum
2023-04-27,Rarible,2981.083699,Ethereum
2023-04-27,Sudoswap,42865.27,Ethereum
2023-04-27,X2Y2,3982927.48,Ethereum
2023-04-27,Quix,79885.13,Optimism
2023-04-27,OpenSea,553099.5374,Polygon
2023-04-27,Coral Cube,26019.21816,Solana
2023-04-27,Exchange Art,8143.567363,Solana
2023-04-27,Hadeswap,327105.8025,Solana
2023-04-27,Hyperspace,3142.994249,Solana
2023-04-27,Magic Eden,1417339.97,Solana
2023-04-27,Solanart,489.0635987,Solana
2023-04-27,Tensor,1682043.484,Solana
2023-04-26,Blur,17064061.86,Ethereum
2023-04-26,Larva Labs,403897.41,Ethereum
2023-04-26,LooksRare,5444872.894,Ethereum
2023-04-26,NFTX,80544.49571,Ethereum
2023-04-26,OpenSea,6171948.452,Ethereum
2023-04-26,Rarible,10325.08285,Ethereum
2023-04-26,Sudoswap,30507.98,Ethereum
2023-04-26,X2Y2,4542192.0,Ethereum
2023-04-26,Quix,12983.0,Optimism
2023-04-26,OpenSea,534776.7756,Polygon
2023-04-26,Coral Cube,23153.65113,Solana
2023-04-26,Exchange Art,14101.90508,Solana
2023-04-26,Hadeswap,226432.4091,Solana
2023-04-26,Hyperspace,2983.352538,Solana
2023-04-26,Magic Eden,1882032.528,Solana
2023-04-26,Solanart,238.7930045,Solana
2023-04-26,Tensor,2109830.41,Solana
2023-04-25,Blur,20480517.53,Ethereum
2023-04-25,Larva Labs,570053.66,Ethereum
2023-04-25,LooksRare,5296452.835,Ethereum
2023-04-25,NFTX,60233.74751,Ethereum
2023-04-25,OpenSea,6377036.487,Ethereum
2023-04-25,Rarible,4261.656313,Ethereum
2023-04-25,Sudoswap,18900.38,Ethereum
2023-04-25,X2Y2,3609380.726,Ethereum
2023-04-25,Quix,17458.16,Optimism
2023-04-25,OpenSea,489483.1544,Polygon
2023-04-25,Coral Cube,28815.95643,Solana
2023-04-25,Exchange Art,7716.254142,Solana
2023-04-25,Hadeswap,267172.9492,Solana
2023-04-25,Hyperspace,8743.545447,Solana
2023-04-25,Magic Eden,2512906.974,Solana
2023-04-25,Solanart,1808.448149,Solana
2023-04-25,Tensor,2017169.193,Solana
2023-04-24,Blur,15082932.42,Ethereum
2023-04-24,Larva Labs,95703.18,Ethereum
2023-04-24,LooksRare,5328210.433,Ethereum
2023-04-24,NFTX,136196.4442,Ethereum
2023-04-24,OpenSea,6205294.157,Ethereum
2023-04-24,Rarible,3350.715792,Ethereum
2023-04-24,Sudoswap,32086.32,Ethereum
2023-04-24,X2Y2,4061904.333,Ethereum
2023-04-24,Quix,6665.98,Optimism
2023-04-24,OpenSea,479630.8242,Polygon
2023-04-24,Coral Cube,19894.53897,Solana
2023-04-24,Exchange Art,4317.059599,Solana
2023-04-24,Hadeswap,298041.9832,Solana
2023-04-24,Hyperspace,7800.094418,Solana
2023-04-24,Magic Eden,3130647.604,Solana
2023-04-24,Solanart,804.5237458,Solana
2023-04-24,Tensor,2042924.855,Solana
2023-04-23,Blur,19701442.61,Ethereum
2023-04-23,Larva Labs,599974.98,Ethereum
2023-04-23,LooksRare,5411916.573,Ethereum
2023-04-23,NFTX,77919.61341,Ethereum
2023-04-23,OpenSea,7033832.551,Ethereum
2023-04-23,Rarible,2856.387555,Ethereum
2023-04-23,Sudoswap,26098.34,Ethereum
2023-04-23,X2Y2,4378525.274,Ethereum
2023-04-23,Quix,4944.52,Optimism
2023-04-23,OpenSea,534723.721,Polygon
2023-04-23,Coral Cube,21545.87158,Solana
2023-04-23,Exchange Art,3429.905192,Solana
2023-04-23,Hadeswap,234696.0119,Solana
2023-04-23,Hyperspace,7605.302897,Solana
2023-04-23,Magic Eden,2601564.023,Solana
2023-04-23,Solanart,336.1312125,Solana
2023-04-23,Tensor,1793071.42,Solana
2023-04-22,Blur,24426786.69,Ethereum
2023-04-22,Larva Labs,926434.81,Ethereum
