Date,Blockchain,Values
2023-04-05,NEAR,83508
2023-04-05,Optimism,71945
2023-04-05,Osmosis,13990
2023-04-05,Polygon,410854
2023-04-05,Solana,110760
2023-04-04,Arbitrum,183596
2023-04-04,Avalanche,25851
2023-04-04,Axelar,1601
2023-04-04,BSC,1226031
2023-04-04,Cosmos,16595
2023-04-04,Ethereum,362970
2023-04-04,Gnosis,6111
2023-04-04,NEAR,179521
2023-04-04,Optimism,62340
2023-04-04,Osmosis,12769
2023-04-04,Polygon,420851
2023-04-04,Solana,107553
2023-04-03,Arbitrum,149434
2023-04-03,Avalanche,24693
2023-04-03,Axelar,1742
2023-04-03,BSC,1249701
2023-04-03,Cosmos,19801
2023-04-03,Ethereum,347657
2023-04-03,Gnosis,5558
2023-04-03,NEAR,58408
2023-04-03,Optimism,49900
2023-04-03,Osmosis,11991
2023-04-03,Polygon,430682
2023-04-03,Solana,118190
2023-04-02,Arbitrum,151536
2023-04-02,Avalanche,22902
2023-04-02,Axelar,1634
2023-04-02,BSC,1125278
2023-04-02,Cosmos,18408
2023-04-02,Ethereum,332740
2023-04-02,Gnosis,4871
2023-04-02,NEAR,45232
2023-04-02,Optimism,43614
2023-04-02,Osmosis,11538
2023-04-02,Polygon,370928
2023-04-02,Solana,106521
2023-04-01,Arbitrum,133860
2023-04-01,Avalanche,27092
2023-04-01,Axelar,1591
2023-04-01,BSC,1208968
2023-04-01,Cosmos,19316
2023-04-01,Ethereum,357749
2023-04-01,Gnosis,4729
2023-04-01,NEAR,36252
2023-04-01,Optimism,43847
2023-04-01,Osmosis,12010
2023-04-01,Polygon,410021
2023-04-01,Solana,104548
2023-03-31,Arbitrum,167697
2023-03-31,Avalanche,31870
2023-03-31,Axelar,1681
2023-03-31,BSC,1292218
2023-03-31,Cosmos,19863
2023-03-31,Ethereum,408906
2023-03-31,Gnosis,5028
2023-03-31,NEAR,38495
2023-03-31,Optimism,60037
2023-03-31,Osmosis,14059
2023-03-31,Polygon,482059
2023-03-31,Solana,110378
2023-03-30,Arbitrum,207121
2023-03-30,Avalanche,25380
2023-03-30,Axelar,1597
2023-03-30,BSC,1301446
2023-03-30,Cosmos,15823
2023-03-30,Ethereum,434080
2023-03-30,Gnosis,4559
2023-03-30,NEAR,43219
2023-03-30,Optimism,59264
2023-03-30,Osmosis,12333
2023-03-30,Polygon,391100
2023-03-30,Solana,111557
2023-03-29,Arbitrum,174876
2023-03-29,Avalanche,29765
2023-03-29,Axelar,1644
2023-03-29,BSC,1526877
2023-03-29,Cosmos,18660
2023-03-29,Ethereum,428914
2023-03-29,Gnosis,6239
2023-03-29,NEAR,46895
2023-03-29,Optimism,52718
2023-03-29,Osmosis,12727
2023-03-29,Polygon,406817
2023-03-29,Solana,105949
2023-03-28,Arbitrum,203831
2023-03-28,Avalanche,29895
2023-03-28,Axelar,1654
2023-03-28,BSC,1561231
2023-03-28,Cosmos,17245
2023-03-28,Ethereum,412753
2023-03-28,Gnosis,5919
2023-03-28,NEAR,86520
2023-03-28,Optimism,64501
2023-03-28,Osmosis,13235
2023-03-28,Polygon,434423
2023-03-28,Solana,109057
2023-03-27,Arbitrum,192576
2023-03-27,Avalanche,23385
2023-03-27,Axelar,1607
2023-03-27,BSC,1227906
2023-03-27,Cosmos,29186
2023-03-27,Ethereum,355626
2023-03-27,Gnosis,5733
2023-03-27,NEAR,43416
2023-03-27,Optimism,45547
2023-03-27,Osmosis,12439
2023-03-27,Polygon,371309
2023-03-27,Solana,95291
2023-03-26,Arbitrum,189131
2023-03-26,Avalanche,20092
2023-03-26,Axelar,1661
2023-03-26,BSC,1215041
2023-03-26,Cosmos,17471
2023-03-26,Ethereum,334049
2023-03-26,Gnosis,5585
2023-03-26,NEAR,39231
2023-03-26,Optimism,44524
2023-03-26,Osmosis,12995
2023-03-26,Polygon,360665
2023-03-26,Solana,101323
2023-03-25,Arbitrum,225186
2023-03-25,Avalanche,19718
2023-03-25,Axelar,1559
2023-03-25,BSC,1164639
2023-03-25,Cosmos,14429
2023-03-25,Ethereum,356372
2023-03-25,Gnosis,5032
2023-03-25,NEAR,42615
2023-03-25,Optimism,45516
2023-03-25,Osmosis,11628
2023-03-25,Polygon,393598
2023-03-25,Solana,95825
2023-03-24,Arbitrum,423557
2023-03-24,Avalanche,22076
2023-03-24,Axelar,1566
2023-03-24,BSC,1348731
2023-03-24,Cosmos,15108
2023-03-24,Ethereum,363886
2023-03-24,Gnosis,5632
2023-03-24,NEAR,56655
2023-03-24,Optimism,40408
2023-03-24,Osmosis,11310
2023-03-24,Polygon,401914
2023-03-24,Solana,108007
2023-03-23,Arbitrum,611694
2023-03-23,Avalanche,22330
2023-03-23,Axelar,1571
2023-03-23,BSC,1296058
2023-03-23,Cosmos,15151
2023-03-23,Ethereum,376249
2023-03-23,Gnosis,5825
2023-03-23,NEAR,147287
2023-03-23,Optimism,42811
2023-03-23,Osmosis,10748
2023-03-23,Polygon,375572
2023-03-23,Solana,107611
2023-03-22,Arbitrum,191696
2023-03-22,Avalanche,21108
2023-03-22,Axelar,1557
2023-03-22,BSC,1503257
2023-03-22,Cosmos,15977
2023-03-22,Ethereum,374528
2023-03-22,Gnosis,7377
2023-03-22,NEAR,46766
2023-03-22,Optimism,54044
2023-03-22,Osmosis,13297
2023-03-22,Polygon,367035
2023-03-22,Solana,102523
2023-03-21,Arbitrum,239796
2023-03-21,Avalanche,21418
2023-03-21,Axelar,1565
2023-03-21,BSC,1168154
2023-03-21,Cosmos,16697
2023-03-21,Ethereum,377178
2023-03-21,Gnosis,9091
2023-03-21,NEAR,48061
2023-03-21,Optimism,56922
2023-03-21,Osmosis,31567
2023-03-21,Polygon,359581
2023-03-21,Solana,116758
2023-03-20,Arbitrum,168458
2023-03-20,Avalanche,21998
2023-03-20,Axelar,1640
2023-03-20,BSC,1094003
2023-03-20,Cosmos,17435
2023-03-20,Ethereum,395330
2023-03-20,Gnosis,5882
2023-03-20,NEAR,48221
2023-03-20,Optimism,47994
2023-03-20,Osmosis,13993
2023-03-20,Polygon,424764
2023-03-20,Solana,124719
2023-03-19,Arbitrum,142068
2023-03-19,Avalanche,20602
2023-03-19,Axelar,1592
2023-03-19,BSC,1064784
2023-03-19,Cosmos,18014
2023-03-19,Ethereum,331517
2023-03-19,Gnosis,4819
2023-03-19,NEAR,45506
2023-03-19,Optimism,51035
2023-03-19,Osmosis,12461
2023-03-19,Polygon,376142
2023-03-19,Solana,102360
2023-03-18,Arbitrum,168550
2023-03-18,Avalanche,21852
2023-03-18,Axelar,1701
2023-03-18,BSC,1069733
2023-03-18,Cosmos,18426
2023-03-18,Ethereum,355649
2023-03-18,Gnosis,4088
2023-03-18,NEAR,45204
2023-03-18,Optimism,36836
2023-03-18,Osmosis,12216
2023-03-18,Polygon,388638
2023-03-18,Solana,105955
2023-03-17,Arbitrum,172385
2023-03-17,Avalanche,20794
2023-03-17,Axelar,1629
2023-03-17,BSC,1194848
2023-03-17,Cosmos,19541
2023-03-17,Ethereum,373616
2023-03-17,Gnosis,5238
2023-03-17,NEAR,49876
2023-03-17,Optimism,34811
2023-03-17,Osmosis,24273
2023-03-17,Polygon,378797
2023-03-17,Solana,107168
2023-03-16,Arbitrum,135985
2023-03-16,Avalanche,18291
2023-03-16,Axelar,1595
2023-03-16,BSC,1219057
2023-03-16,Cosmos,17930
2023-03-16,Ethereum,344973
2023-03-16,Gnosis,7493
2023-03-16,NEAR,57361
2023-03-16,Optimism,46491
2023-03-16,Osmosis,14115
2023-03-16,Polygon,360212
2023-03-16,Solana,116035
2023-03-15,Arbitrum,113112
2023-03-15,Avalanche,19606
2023-03-15,Axelar,1566
2023-03-15,BSC,1148881
2023-03-15,Cosmos,17217
2023-03-15,Ethereum,378650
2023-03-15,Gnosis,2974
2023-03-15,NEAR,53394
2023-03-15,Optimism,51904
2023-03-15,Osmosis,16214
2023-03-15,Polygon,342929
2023-03-15,Solana,111020
2023-03-14,Arbitrum,95692
2023-03-14,Avalanche,21954
2023-03-14,Axelar,1685
2023-03-14,BSC,1141511
2023-03-14,Cosmos,19244
2023-03-14,Ethereum,382701
2023-03-14,Gnosis,3599
2023-03-14,NEAR,50855
2023-03-14,Optimism,37631
2023-03-14,Osmosis,17546
2023-03-14,Polygon,347040
2023-03-14,Solana,108540
2023-03-13,Arbitrum,82750
2023-03-13,Avalanche,24730
2023-03-13,Axelar,1669
2023-03-13,BSC,1162894
2023-03-13,Cosmos,23020
2023-03-13,Ethereum,457657
2023-03-13,Gnosis,7236
2023-03-13,NEAR,53778
2023-03-13,Optimism,43334
2023-03-13,Osmosis,17176
2023-03-13,Polygon,349870
2023-03-13,Solana,112631
2023-03-12,Arbitrum,79833
2023-03-12,Avalanche,18642
2023-03-12,Axelar,1701
2023-03-12,BSC,1102260
2023-03-12,Cosmos,15892
2023-03-12,Ethereum,327065
2023-03-12,Gnosis,3005
2023-03-12,NEAR,42752
2023-03-12,Optimism,43863
2023-03-12,Osmosis,15154
2023-03-12,Polygon,306262
