Date,Exchange,Values,Blockchain
2023-05-31,WOOFi,7497931.04,Avalanche
2023-05-31,Balancer,53727058.04,Ethereum
2023-05-31,Curve,80689206.08,Ethereum
2023-05-31,DODO,67281369.26,Ethereum
2023-05-31,Fraxswap,1138672.26,Ethereum
2023-05-31,Hashflow,7386054.39,Ethereum
2023-05-31,KyberSwap,35767.33,Ethereum
2023-05-31,PancakeSwap,11843693.32,Ethereum
2023-05-31,ShibaSwap,891557.33,Ethereum
2023-05-31,Sushiswap,11289731.29,Ethereum
2023-05-31,Uniswap,613055575.16,Ethereum
2023-05-31,Beethoven X,2379215.76,Optimism
2023-05-31,Curve,1689621.67,Optimism
2023-05-31,Fraxswap,6165.25,Optimism
2023-05-31,KyberSwap,1971.8,Optimism
2023-05-31,Sushiswap,248323.23,Optimism
2023-05-31,Synthetix,18173.95,Optimism
2023-05-31,Uniswap,25934913.46,Optimism
2023-05-31,Velodrome,12206764.15,Optimism
2023-05-31,WOOFi,1450983.58,Optimism
2023-05-31,Balancer,1335420.08,Polygon
2023-05-31,Curve,400689.2,Polygon
2023-05-31,DODO,2084383.8,Polygon
2023-05-31,Fraxswap,16624.25,Polygon
2023-05-31,KyberSwap,232040.81,Polygon
2023-05-31,QuickSwap,19423764.43,Polygon
2023-05-31,Sushiswap,641748.85,Polygon
2023-05-31,Uniswap,40055300.97,Polygon
2023-05-31,WOOFi,2318190.21,Polygon
2023-05-30,Curve,1026090.68,Avalanche
2023-05-30,Fraxswap,19108.14,Avalanche
2023-05-30,GMX,1858196.82,Avalanche
2023-05-30,Hashflow,108988.61,Avalanche
2023-05-30,KyberSwap,41256.66,Avalanche
2023-05-30,Pangolin,412674.9,Avalanche
2023-05-30,Platypus,6500135.89,Avalanche
2023-05-30,Sushiswap,18187.74,Avalanche
2023-05-30,Trader Joe,24624699.38,Avalanche
2023-05-30,WOOFi,6010478.01,Avalanche
2023-05-30,Balancer,8865513.23,Ethereum
2023-05-30,Curve,92575043.33,Ethereum
2023-05-30,DODO,123170800.55,Ethereum
2023-05-30,Fraxswap,1397776.8,Ethereum
2023-05-30,Hashflow,8850344.5,Ethereum
2023-05-30,KyberSwap,45010.53,Ethereum
2023-05-30,PancakeSwap,6927202.68,Ethereum
2023-05-30,ShibaSwap,1490417.65,Ethereum
2023-05-30,Sushiswap,5526233.54,Ethereum
2023-05-30,Synthetix,213.51,Ethereum
2023-05-30,Uniswap,709667847.42,Ethereum
2023-05-30,Beethoven X,1712063.56,Optimism
2023-05-30,Curve,7129.59,Optimism
2023-05-30,Fraxswap,3620.56,Optimism
2023-05-30,KyberSwap,1707.82,Optimism
2023-05-30,Sushiswap,192049.14,Optimism
2023-05-30,Synthetix,2537.84,Optimism
2023-05-30,Uniswap,19028864.1,Optimism
2023-05-30,Velodrome,7906003.27,Optimism
2023-05-30,WOOFi,1205210.81,Optimism
2023-05-30,Balancer,927712.18,Polygon
2023-05-30,Curve,413127.6,Polygon
2023-05-30,DODO,1877241.53,Polygon
2023-05-30,Fraxswap,32881.29,Polygon
2023-05-30,KyberSwap,208773.83,Polygon
2023-05-30,QuickSwap,17868628.01,Polygon
2023-05-30,Sushiswap,361181.56,Polygon
2023-05-30,Uniswap,37710564.43,Polygon
2023-05-30,WOOFi,1344488.01,Polygon
2023-05-29,Curve,312866.66,Avalanche
2023-05-29,Fraxswap,12279.74,Avalanche
2023-05-29,GMX,1069748.54,Avalanche
2023-05-29,Hashflow,152877.87,Avalanche
2023-05-29,KyberSwap,48097.17,Avalanche
2023-05-29,Pangolin,495410.42,Avalanche
2023-05-29,Platypus,1469902.21,Avalanche
2023-05-29,Sushiswap,45286.13,Avalanche
2023-05-29,Trader Joe,17763377.46,Avalanche
2023-05-29,WOOFi,3967855.9,Avalanche
2023-05-29,Balancer,9492286.83,Ethereum
2023-05-29,Curve,81036308.86,Ethereum
2023-05-29,DODO,62650659.69,Ethereum
2023-05-29,Fraxswap,552303.14,Ethereum
2023-05-29,Hashflow,10825951.58,Ethereum
2023-05-29,KyberSwap,17976.37,Ethereum
2023-05-29,PancakeSwap,4700755.38,Ethereum
2023-05-29,ShibaSwap,1060307.03,Ethereum
2023-05-29,Sushiswap,4067655.82,Ethereum
2023-05-29,Uniswap,623618871.43,Ethereum
2023-05-29,Beethoven X,982857.25,Optimism
2023-05-29,Curve,11998.5,Optimism
2023-05-29,Fraxswap,5964.0,Optimism
2023-05-29,KyberSwap,7969.65,Optimism
2023-05-29,Sushiswap,226549.27,Optimism
2023-05-29,Synthetix,3817.96,Optimism
2023-05-29,Uniswap,15636376.03,Optimism
2023-05-29,Velodrome,6164606.5,Optimism
2023-05-29,WOOFi,1135659.06,Optimism
2023-05-29,Balancer,1274643.12,Polygon
2023-05-29,Curve,201291.38,Polygon
2023-05-29,DODO,2171943.3,Polygon
2023-05-29,Fraxswap,19202.12,Polygon
2023-05-29,KyberSwap,157456.63,Polygon
2023-05-29,QuickSwap,19745817.74,Polygon
2023-05-29,Sushiswap,494242.97,Polygon
2023-05-29,Uniswap,40846995.86,Polygon
2023-05-29,WOOFi,1986924.73,Polygon
2023-05-28,Curve,408252.76,Avalanche
2023-05-28,Fraxswap,21762.31,Avalanche
2023-05-28,GMX,5291483.43,Avalanche
2023-05-28,Hashflow,152245.46,Avalanche
2023-05-28,KyberSwap,42052.85,Avalanche
2023-05-28,Pangolin,740079.01,Avalanche
2023-05-28,Platypus,2116190.15,Avalanche
2023-05-28,Sushiswap,23131.58,Avalanche
2023-05-28,Trader Joe,22393333.37,Avalanche
2023-05-28,WOOFi,4977329.9,Avalanche
2023-05-28,Balancer,8370124.37,Ethereum
2023-05-28,Curve,64288148.52,Ethereum
2023-05-28,DODO,94695441.08,Ethereum
2023-05-28,Fraxswap,623918.18,Ethereum
2023-05-28,Hashflow,11173776.99,Ethereum
2023-05-28,KyberSwap,20314.07,Ethereum
2023-05-28,Maverick,2622.64,Ethereum
2023-05-28,PancakeSwap,5327091.04,Ethereum
2023-05-28,ShibaSwap,1387625.5,Ethereum
2023-05-28,Sushiswap,4451446.55,Ethereum
2023-05-28,Synthetix,16594.26,Ethereum
2023-05-28,Uniswap,602586391.4,Ethereum
2023-05-28,Beethoven X,763011.79,Optimism
2023-05-28,Curve,27732.94,Optimism
2023-05-28,Fraxswap,9269.61,Optimism
2023-05-28,KyberSwap,83078.56,Optimism
2023-05-28,Sushiswap,281247.61,Optimism
2023-05-28,Synthetix,9972.63,Optimism
2023-05-28,Uniswap,19164387.32,Optimism
2023-05-28,Velodrome,5498670.95,Optimism
2023-05-28,WOOFi,782388.73,Optimism
2023-05-28,Balancer,1984476.3,Polygon
2023-05-28,Curve,393844.73,Polygon
2023-05-28,DODO,1990590.24,Polygon
2023-05-28,Fraxswap,21894.58,Polygon
2023-05-28,KyberSwap,221466.58,Polygon
2023-05-28,QuickSwap,21476366.48,Polygon
2023-05-28,Sushiswap,603416.1,Polygon
2023-05-28,Uniswap,41952089.05,Polygon
2023-05-28,WOOFi,2146446.52,Polygon
2023-05-27,Curve,354517.31,Avalanche
2023-05-27,Fraxswap,7489.68,Avalanche
2023-05-27,GMX,1311928.76,Avalanche
2023-05-27,Hashflow,76811.48,Avalanche
2023-05-27,KyberSwap,48960.1,Avalanche
2023-05-27,Pangolin,288091.3,Avalanche
2023-05-27,Platypus,1177661.18,Avalanche
2023-05-27,Sushiswap,38361.57,Avalanche
2023-05-27,Trader Joe,10455912.4,Avalanche
2023-05-27,WOOFi,4123853.08,Avalanche
2023-05-27,Balancer,5701231.7,Ethereum
2023-05-27,Curve,32825375.14,Ethereum
2023-05-27,DODO,36926858.24,Ethereum
2023-05-27,Fraxswap,358424.56,Ethereum
2023-05-27,Hashflow,4298498.38,Ethereum
2023-05-27,KyberSwap,10848.48,Ethereum
2023-05-27,PancakeSwap,2746171.46,Ethereum
2023-05-27,ShibaSwap,1804499.75,Ethereum
2023-05-27,Sushiswap,2815239.6,Ethereum
2023-05-27,Synthetix,49963.31,Ethereum
2023-05-27,Uniswap,323014948.3,Ethereum
2023-05-27,Beethoven X,622472.96,Optimism
2023-05-27,Curve,19584.24,Optimism
2023-05-27,Fraxswap,442.5,Optimism
2023-05-27,KyberSwap,15842.77,Optimism
2023-05-27,Sushiswap,200005.0,Optimism
2023-05-27,Synthetix,58954.95,Optimism
2023-05-27,Uniswap,7970451.44,Optimism
2023-05-27,Velodrome,3076418.1,Optimism
2023-05-27,WOOFi,503068.3,Optimism
2023-05-27,Balancer,984640.44,Polygon
2023-05-27,Curve,176706.74,Polygon
2023-05-27,DODO,2022825.44,Polygon
2023-05-27,Fraxswap,6962.85,Polygon
2023-05-27,KyberSwap,264616.55,Polygon
2023-05-27,QuickSwap,11369943.64,Polygon
2023-05-27,Sushiswap,481460.56,Polygon
2023-05-27,Uniswap,23932284.56,Polygon
2023-05-27,WOOFi,1692534.46,Polygon
2023-05-26,Curve,519995.95,Avalanche
2023-05-26,Fraxswap,9145.91,Avalanche
2023-05-26,GMX,1488897.27,Avalanche
2023-05-26,Hashflow,276451.51,Avalanche
2023-05-26,KyberSwap,36943.4,Avalanche
2023-05-26,Pangolin,392682.51,Avalanche
2023-05-26,Platypus,2072505.91,Avalanche
2023-05-26,Sushiswap,28104.87,Avalanche
2023-05-26,Trader Joe,11861796.93,Avalanche
2023-05-26,WOOFi,5136589.22,Avalanche
2023-05-26,Balancer,13073397.8,Ethereum
2023-05-26,Curve,71865657.57,Ethereum
2023-05-26,DODO,72238532.58,Ethereum
2023-05-26,Fraxswap,752126.39,Ethereum
2023-05-26,Hashflow,9393788.41,Ethereum
2023-05-26,KyberSwap,20460.92,Ethereum
2023-05-26,Maverick,3074.5,Ethereum
2023-05-26,PancakeSwap,4282337.23,Ethereum
2023-05-26,ShibaSwap,1367762.01,Ethereum
2023-05-26,Sushiswap,4832565.03,Ethereum
2023-05-26,Synthetix,436311.77,Ethereum
2023-05-26,Uniswap,486371621.8,Ethereum
2023-05-26,Beethoven X,569739.37,Optimism
2023-05-26,Curve,42017.88,Optimism
2023-05-26,Fraxswap,2665.2,Optimism
2023-05-26,KyberSwap,4932.8,Optimism
2023-05-26,Sushiswap,188121.31,Optimism
2023-05-26,Synthetix,28144.27,Optimism
2023-05-26,Uniswap,12975151.18,Optimism
2023-05-26,Velodrome,5284574.42,Optimism
2023-05-26,WOOFi,659462.14,Optimism
2023-05-26,Balancer,1599459.04,Polygon
2023-05-26,Curve,158508.68,Polygon
2023-05-26,DODO,2225402.59,Polygon
2023-05-26,Fraxswap,43454.29,Polygon
2023-05-26,KyberSwap,354069.9,Polygon
2023-05-26,QuickSwap,30930773.1,Polygon
2023-05-26,Sushiswap,608426.45,Polygon
2023-05-26,Uniswap,54315691.37,Polygon
2023-05-26,WOOFi,2242040.79,Polygon
2023-05-25,Curve,699822.26,Avalanche
2023-05-25,Fraxswap,19310.32,Avalanche
2023-05-25,GMX,2444713.94,Avalanche
2023-05-25,Hashflow,272691.87,Avalanche
2023-05-25,KyberSwap,70461.83,Avalanche
2023-05-25,Pangolin,842981.99,Avalanche
2023-05-25,Platypus,2562336.54,Avalanche
2023-05-25,Sushiswap,51749.6,Avalanche
2023-05-25,Trader Joe,14826302.05,Avalanche
2023-05-25,WOOFi,3540265.47,Avalanche
2023-05-25,Balancer,5473067.5,Ethereum
2023-05-25,Curve,121458415.5,Ethereum
2023-05-25,DODO,67153466.74,Ethereum
2023-05-25,Fraxswap,520363.55,Ethereum
2023-05-25,Hashflow,7619071.19,Ethereum
2023-05-25,KyberSwap,21377.73,Ethereum
2023-05-25,PancakeSwap,3817467.01,Ethereum
2023-05-25,ShibaSwap,1303678.37,Ethereum
2023-05-25,Sushiswap,4887893.66,Ethereum
2023-05-25,Synthetix,62725.39,Ethereum
2023-05-25,Uniswap,568554152.8,Ethereum
2023-05-25,Beethoven X,631724.38,Optimism
2023-05-25,Curve,61764.43,Optimism
2023-05-25,Fraxswap,8425.93,Optimism
2023-05-25,KyberSwap,103902.25,Optimism
2023-05-25,Sushiswap,229916.42,Optimism
2023-05-25,Synthetix,53934.75,Optimism
2023-05-25,Uniswap,16899039.86,Optimism
2023-05-25,Velodrome,6712543.81,Optimism
2023-05-25,WOOFi,553819.46,Optimism
2023-05-25,Balancer,2482333.44,Polygon
2023-05-25,Curve,63910.29,Polygon
2023-05-25,DODO,2352364.25,Polygon
2023-05-25,Fraxswap,30677.75,Polygon
2023-05-25,KyberSwap,565793.33,Polygon
2023-05-25,QuickSwap,23340642.74,Polygon
2023-05-25,Sushiswap,373967.07,Polygon
2023-05-25,Uniswap,45247640.74,Polygon
2023-05-25,WOOFi,1135015.04,Polygon
2023-05-24,Curve,576313.56,Avalanche
2023-05-24,Fraxswap,17183.84,Avalanche
2023-05-24,GMX,5303803.99,Avalanche
2023-05-24,Hashflow,297981.22,Avalanche
2023-05-24,KyberSwap,137066.67,Avalanche
2023-05-24,Pangolin,563974.41,Avalanche
2023-05-24,Platypus,2724770.06,Avalanche
2023-05-24,Sushiswap,31399.05,Avalanche
2023-05-24,Trader Joe,17272986.61,Avalanche
2023-05-24,WOOFi,4810849.22,Avalanche
2023-05-24,Balancer,26627395.4,Ethereum
2023-05-24,Curve,111639029.8,Ethereum
2023-05-24,DODO,75060446.29,Ethereum
2023-05-24,Fraxswap,831779.94,Ethereum
2023-05-24,Hashflow,17565230.91,Ethereum
2023-05-24,KyberSwap,31729.19,Ethereum
2023-05-24,Maverick,5686.62,Ethereum
2023-05-24,PancakeSwap,5817968.42,Ethereum
2023-05-24,ShibaSwap,1194383.41,Ethereum
2023-05-24,Sushiswap,8069170.59,Ethereum
2023-05-24,Synthetix,108.83,Ethereum
2023-05-24,Uniswap,766109151.8,Ethereum
2023-05-24,Beethoven X,1808402.27,Optimism
2023-05-24,Curve,46267.65,Optimism
2023-05-24,Fraxswap,8720.56,Optimism
2023-05-24,KyberSwap,4890.59,Optimism
2023-05-24,Sushiswap,221915.12,Optimism
2023-05-24,Synthetix,48207.83,Optimism
2023-05-24,Uniswap,21576110.44,Optimism
2023-05-24,Velodrome,9045581.14,Optimism
2023-05-24,WOOFi,770296.47,Optimism
2023-05-24,Balancer,904479.28,Polygon
2023-05-24,Curve,875161.06,Polygon
2023-05-24,DODO,3727223.01,Polygon
2023-05-24,Fraxswap,30247.36,Polygon
2023-05-24,KyberSwap,604767.96,Polygon
2023-05-24,QuickSwap,23293934.07,Polygon
2023-05-24,Sushiswap,591279.08,Polygon
2023-05-24,Uniswap,43283166.46,Polygon
2023-05-24,WOOFi,1731241.59,Polygon
2023-05-23,Curve,297224.37,Avalanche
2023-05-23,Fraxswap,22802.91,Avalanche
2023-05-23,GMX,2488807.63,Avalanche
2023-05-23,Hashflow,101328.6,Avalanche
2023-05-23,KyberSwap,69883.78,Avalanche
2023-05-23,Pangolin,349971.56,Avalanche
2023-05-23,Platypus,1384428.77,Avalanche
2023-05-23,Sushiswap,42125.26,Avalanche
2023-05-23,Trader Joe,16440275.08,Avalanche
2023-05-23,WOOFi,5408209.78,Avalanche
2023-05-23,Balancer,6887251.55,Ethereum
2023-05-23,Curve,109323713.2,Ethereum
2023-05-23,DODO,66090136.88,Ethereum
2023-05-23,Fraxswap,1623618.23,Ethereum
2023-05-23,Hashflow,12298671.92,Ethereum
2023-05-23,KyberSwap,33639.87,Ethereum
2023-05-23,Maverick,5880.84,Ethereum
2023-05-23,PancakeSwap,3716354.52,Ethereum
2023-05-23,ShibaSwap,1195852.93,Ethereum
2023-05-23,Sushiswap,5797824.9,Ethereum
2023-05-23,Uniswap,707514046.0,Ethereum
2023-05-23,Beethoven X,1115576.05,Optimism
2023-05-23,Curve,6164.03,Optimism
2023-05-23,Fraxswap,5290.43,Optimism
2023-05-23,KyberSwap,47643.58,Optimism
2023-05-23,Sushiswap,216988.03,Optimism
2023-05-23,Synthetix,17812.04,Optimism
2023-05-23,Uniswap,18967638.81,Optimism
2023-05-23,Velodrome,5891221.24,Optimism
2023-05-23,WOOFi,821173.04,Optimism
2023-05-23,Balancer,2480165.46,Polygon
2023-05-23,Curve,426060.71,Polygon
2023-05-23,DODO,3105836.2,Polygon
2023-05-23,Fraxswap,38982.94,Polygon
