Date,Blockchain,DEX,Values
2023-03-01,Ethereum,Sushi,8163
2023-03-01,Ethereum,Synthetix,9
2023-03-01,Ethereum,Uniswap,119274
2023-02-28,Ethereum,Balancer,1897
2023-02-28,Ethereum,Curve,2161
2023-02-28,Ethereum,Sushi,7920
2023-02-28,Ethereum,Synthetix,4
2023-02-28,Ethereum,Uniswap,117261
2023-02-27,Ethereum,Balancer,1522
2023-02-27,Ethereum,Curve,2037
2023-02-27,Ethereum,Sushi,6594
2023-02-27,Ethereum,Synthetix,10
2023-02-27,Ethereum,Uniswap,99141
2023-02-26,Ethereum,Balancer,1067
2023-02-26,Ethereum,Curve,1504
2023-02-26,Ethereum,Sushi,5630
2023-02-26,Ethereum,Synthetix,2
2023-02-26,Ethereum,Uniswap,88606
2023-02-25,Ethereum,Balancer,1276
2023-02-25,Ethereum,Curve,1719
2023-02-25,Ethereum,Sushi,6406
2023-02-25,Ethereum,Uniswap,92039
2023-02-24,Ethereum,Balancer,1338
2023-02-24,Ethereum,Curve,2151
2023-02-24,Ethereum,Sushi,6929
2023-02-24,Ethereum,Synthetix,3
2023-02-24,Ethereum,Uniswap,95890
2023-02-23,Ethereum,Balancer,1501
2023-02-23,Ethereum,Curve,1977
2023-02-23,Ethereum,Sushi,7483
2023-02-23,Ethereum,Synthetix,8
2023-02-23,Ethereum,Uniswap,92099
2023-02-22,Ethereum,Balancer,1942
2023-02-22,Ethereum,Curve,2395
2023-02-22,Ethereum,Sushi,11697
2023-02-22,Ethereum,Synthetix,3
2023-02-22,Ethereum,Uniswap,107776
2023-02-21,Ethereum,Balancer,1362
2023-02-21,Ethereum,Curve,2225
2023-02-21,Ethereum,Sushi,9067
2023-02-21,Ethereum,Synthetix,6
2023-02-21,Ethereum,Uniswap,110313
2023-02-20,Ethereum,Balancer,1752
2023-02-20,Ethereum,Curve,2312
2023-02-20,Ethereum,Sushi,8293
2023-02-20,Ethereum,Synthetix,13
2023-02-20,Ethereum,Uniswap,108544
2023-02-19,Ethereum,Balancer,1694
2023-02-19,Ethereum,Curve,2439
2023-02-19,Ethereum,Sushi,8739
2023-02-19,Ethereum,Synthetix,1
2023-02-19,Ethereum,Uniswap,121911
2023-02-18,Ethereum,Balancer,1702
2023-02-18,Ethereum,Curve,2349
2023-02-18,Ethereum,Sushi,8160
2023-02-18,Ethereum,Uniswap,104114
2023-02-17,Ethereum,Balancer,1552
2023-02-17,Ethereum,Curve,2526
2023-02-17,Ethereum,Sushi,9848
2023-02-17,Ethereum,Synthetix,2
2023-02-17,Ethereum,Uniswap,112703
2023-02-16,Ethereum,Balancer,1589
2023-02-16,Ethereum,Curve,2860
2023-02-16,Ethereum,Sushi,11340
2023-02-16,Ethereum,Synthetix,13
2023-02-16,Ethereum,Uniswap,139572
2023-02-15,Ethereum,Balancer,1916
2023-02-15,Ethereum,Curve,2237
2023-02-15,Ethereum,Sushi,9216
2023-02-15,Ethereum,Synthetix,4
2023-02-15,Ethereum,Uniswap,135888
2023-02-14,Ethereum,Balancer,2130
2023-02-14,Ethereum,Curve,3067
2023-02-14,Ethereum,Sushi,8537
2023-02-14,Ethereum,Synthetix,10
2023-02-14,Ethereum,Uniswap,115499
2023-02-13,Ethereum,Balancer,2846
2023-02-13,Ethereum,Curve,4614
2023-02-13,Ethereum,Sushi,9916
2023-02-13,Ethereum,Synthetix,4
2023-02-13,Ethereum,Uniswap,114837
2023-02-12,Ethereum,Balancer,1747
2023-02-12,Ethereum,Curve,2004
2023-02-12,Ethereum,Sushi,8889
2023-02-12,Ethereum,Synthetix,3
2023-02-12,Ethereum,Uniswap,117732
2023-02-11,Ethereum,Balancer,1252
2023-02-11,Ethereum,Curve,1817
2023-02-11,Ethereum,Sushi,7303
2023-02-11,Ethereum,Uniswap,108392
2023-02-10,Ethereum,Balancer,1988
2023-02-10,Ethereum,Curve,2504
2023-02-10,Ethereum,Sushi,8137
2023-02-10,Ethereum,Synthetix,6
2023-02-10,Ethereum,Uniswap,127847
2023-02-09,Ethereum,Balancer,2789
2023-02-09,Ethereum,Curve,3729
2023-02-09,Ethereum,Sushi,9929
2023-02-09,Ethereum,Synthetix,11
2023-02-09,Ethereum,Uniswap,139165
2023-02-08,Ethereum,Balancer,1674
2023-02-08,Ethereum,Curve,2649
2023-02-08,Ethereum,Sushi,9336
2023-02-08,Ethereum,Synthetix,5
2023-02-08,Ethereum,Uniswap,156240
2023-02-07,Ethereum,Balancer,1899
2023-02-07,Ethereum,Curve,2705
2023-02-07,Ethereum,Sushi,10535
2023-02-07,Ethereum,Synthetix,8
2023-02-07,Ethereum,Uniswap,173295
2023-02-06,Ethereum,Balancer,1921
2023-02-06,Ethereum,Curve,2470
2023-02-06,Ethereum,Sushi,8818
2023-02-06,Ethereum,Synthetix,9
2023-02-06,Ethereum,Uniswap,157077
2023-02-05,Ethereum,Balancer,1341
2023-02-05,Ethereum,Curve,2101
2023-02-05,Ethereum,Sushi,8714
2023-02-05,Ethereum,Synthetix,1
2023-02-05,Ethereum,Uniswap,147425
2023-02-04,Ethereum,Balancer,1899
2023-02-04,Ethereum,Curve,1902
2023-02-04,Ethereum,Sushi,8003
2023-02-04,Ethereum,Uniswap,145167
2023-02-03,Ethereum,Balancer,1172
2023-02-03,Ethereum,Curve,2565
2023-02-03,Ethereum,Sushi,11364
2023-02-03,Ethereum,Synthetix,14
2023-02-03,Ethereum,Uniswap,156803
2023-02-02,Ethereum,Balancer,2399
2023-02-02,Ethereum,Curve,2812
2023-02-02,Ethereum,Sushi,11709
2023-02-02,Ethereum,Synthetix,12
2023-02-02,Ethereum,Uniswap,152850
2023-02-01,Ethereum,Balancer,2658
2023-02-01,Ethereum,Curve,2617
2023-02-01,Ethereum,Sushi,9025
2023-02-01,Ethereum,Synthetix,15
2023-02-01,Ethereum,Uniswap,134547
2023-01-31,Ethereum,Balancer,3174
2023-01-31,Ethereum,Curve,1882
2023-01-31,Ethereum,Sushi,7086
2023-01-31,Ethereum,Synthetix,10
2023-01-31,Ethereum,Uniswap,111760
2023-01-30,Ethereum,Balancer,2218
2023-01-30,Ethereum,Curve,2080
2023-01-30,Ethereum,Sushi,8520
2023-01-30,Ethereum,Synthetix,9
2023-01-30,Ethereum,Uniswap,126473
2023-01-29,Ethereum,Balancer,1889
2023-01-29,Ethereum,Curve,1798
2023-01-29,Ethereum,Sushi,7166
2023-01-29,Ethereum,Synthetix,6
2023-01-29,Ethereum,Uniswap,115456
2023-01-28,Ethereum,Balancer,1831
2023-01-28,Ethereum,Curve,2254
2023-01-28,Ethereum,Sushi,6625
2023-01-28,Ethereum,Synthetix,5
2023-01-28,Ethereum,Uniswap,110590
2023-01-27,Ethereum,Balancer,1637
2023-01-27,Ethereum,Curve,2716
2023-01-27,Ethereum,Sushi,8126
2023-01-27,Ethereum,Synthetix,7
2023-01-27,Ethereum,Uniswap,105605
2023-01-26,Ethereum,Balancer,1738
2023-01-26,Ethereum,Curve,3263
2023-01-26,Ethereum,Sushi,8106
2023-01-26,Ethereum,Synthetix,17
2023-01-26,Ethereum,Uniswap,111522
2023-01-25,Ethereum,Balancer,2214
2023-01-25,Ethereum,Curve,3138
2023-01-25,Ethereum,Sushi,7320
2023-01-25,Ethereum,Synthetix,10
2023-01-25,Ethereum,Uniswap,113561
2023-01-24,Ethereum,Balancer,2660
2023-01-24,Ethereum,Curve,3886
2023-01-24,Ethereum,Sushi,8575
2023-01-24,Ethereum,Synthetix,7
2023-01-24,Ethereum,Uniswap,113223
2023-01-23,Ethereum,Balancer,1930
2023-01-23,Ethereum,Curve,3143
2023-01-23,Ethereum,Sushi,8548
2023-01-23,Ethereum,Synthetix,8
2023-01-23,Ethereum,Uniswap,107309
2023-01-22,Ethereum,Balancer,2205
2023-01-22,Ethereum,Curve,3370
2023-01-22,Ethereum,Sushi,8427
2023-01-22,Ethereum,Uniswap,101051
2023-01-21,Ethereum,Balancer,1965
2023-01-21,Ethereum,Curve,3105
2023-01-21,Ethereum,Sushi,7951
2023-01-21,Ethereum,Synthetix,21
2023-01-21,Ethereum,Uniswap,112794
2023-01-20,Ethereum,Balancer,1624
2023-01-20,Ethereum,Curve,3035
2023-01-20,Ethereum,Sushi,7407
2023-01-20,Ethereum,Synthetix,22
2023-01-20,Ethereum,Uniswap,103031
2023-01-19,Ethereum,Balancer,1373
2023-01-19,Ethereum,Curve,3022
2023-01-19,Ethereum,Sushi,6668
2023-01-19,Ethereum,Synthetix,26
2023-01-19,Ethereum,Uniswap,98580
2023-01-18,Ethereum,Balancer,2134
2023-01-18,Ethereum,Curve,3356
2023-01-18,Ethereum,Sushi,7707
2023-01-18,Ethereum,Synthetix,42
2023-01-18,Ethereum,Uniswap,115603
2023-01-17,Ethereum,Balancer,1542
2023-01-17,Ethereum,Curve,3132
2023-01-17,Ethereum,Sushi,6424
2023-01-17,Ethereum,Synthetix,28
2023-01-17,Ethereum,Uniswap,106728
2023-01-16,Ethereum,Balancer,2742
2023-01-16,Ethereum,Curve,3292
2023-01-16,Ethereum,Sushi,8608
2023-01-16,Ethereum,Synthetix,49
